"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",26,"31.7%","9.8%","41.5%","42%","54%",95,47,136,4.9,"70.9%","13.0%","38%",125,36,0,8.7,"24.7%",595,"27.7%","24.1%",0.55,0.4
"Akali","Middle",8,"9.8%","3.7%","13.4%","25%","88%",27,24,26,2.2,"68.8%","21.8%","0%",-330,-115,-6.5,8.1,"22.8%",512,"26.0%","23.9%",0.35,0.26
"Alistar","Support",14,"17.1%","8.5%","25.6%","36%","86%",8,43,96,2.4,"67.1%","22.8%","29%",-58,162,2.1,1.1,"1.9%",115,"6.1%","8.7%",1.89,0.41
"Amumu","Jungle",3,"3.7%","3.7%","7.3%","0%","100%",4,16,26,1.9,"71.4%","25.8%","0%",-159,373,13,5.8,"14.3%",449,"18.3%","16.4%",0.38,0.31
"Ashe","ADC",21,"25.6%","54.9%","80.5%","71%","5%",90,40,138,5.7,"72.6%","18.6%","33%",-90,89,-2,9.6,"29.9%",557,"24.6%","25.8%",0.38,0.4
"Aurora","Middle",8,"9.8%","79.3%","96.3%","75%","63%",34,16,71,6.6,"77.2%","16.5%","13%",-27,14,-2.5,7.9,"23.4%",787,"32.0%","21.7%",0.62,0.35
"Aurora","Top",6,"7.3%","79.3%","96.3%","50%","0%",22,14,40,4.4,"70.5%","18.2%","33%",170,59,8.2,7.4,"20.7%",546,"23.9%","20.9%",0.4,0.29
"Bard","Support",1,"1.2%","1.2%","2.4%","100%","100%",0,0,13,13,"100.0%","0.0%","100%",395,159,9,1.8,"3.8%",152,"7.7%","10.7%",2.69,0.56
"Blitzcrank","Support",1,"1.2%","3.7%","4.9%","100%","100%",1,1,9,10,"58.8%","33.3%","0%",316,-147,-4,1.6,"2.7%",145,"6.2%","10.5%",1.81,0.62
"Brand","Jungle",3,"3.7%","8.5%","12.2%","67%","100%",9,4,25,8.5,"79.1%","17.4%","33%",200,209,7,6.9,"18.8%",581,"25.9%","19.3%",0.75,0.54
"Braum","Support",11,"13.4%","9.8%","23.2%","64%","64%",2,32,104,3.3,"71.1%","24.4%","45%",3,170,1.9,1.1,"2.1%",156,"7.7%","9.0%",1.95,0.43
"Caitlyn","ADC",4,"4.9%","0.0%","4.9%","25%","50%",12,8,12,3,"72.7%","14.5%","25%",88,79,4,10.2,"32.4%",490,"26.6%","27.8%",0.41,0.42
"Camille","Top",3,"3.7%","0.0%","3.7%","67%","67%",9,5,15,4.8,"61.5%","16.1%","0%",-148,-52,0.3,8.5,"27.5%",400,"20.3%","25.2%",0.27,0.24
"Cassiopeia","Middle",3,"3.7%","3.7%","7.3%","33%","100%",6,9,16,2.4,"62.9%","20.0%","0%",-410,-315,-2.3,8.6,"25.9%",467,"21.9%","22.0%",0.4,0.23
"Darius","Top",1,"1.2%","0.0%","1.2%","0%","100%",2,7,7,1.3,"52.9%","28.0%","0%",-821,-981,-17,7.6,"27.7%",414,"16.8%","19.8%",0.48,0.18
"Draven","ADC",2,"2.4%","4.9%","7.3%","50%","100%",11,6,4,2.5,"51.7%","22.2%","0%",29,-539,-15,9,"29.7%",573,"23.0%","29.2%",0.33,0.37
"Elise","Jungle",1,"1.2%","0.0%","1.2%","0%","100%",0,1,6,6,"50.0%","5.6%","0%",-380,-403,-9,6.3,"20.7%",299,"14.4%","16.3%",0.92,0.44
"Ezreal","ADC",22,"26.8%","25.6%","52.4%","55%","45%",94,39,105,5.1,"66.8%","12.7%","36%",27,110,1.9,9.9,"31.1%",849,"34.6%","26.5%",0.37,0.3
"Fiddlesticks","Jungle",1,"1.2%","0.0%","1.2%","0%","100%",0,2,3,1.5,"100.0%","14.3%","0%",447,755,18,6.1,"14.5%",287,"22.2%","18.4%",0.2,0.2
"Galio","Middle",6,"7.3%","2.4%","15.9%","83%","83%",16,14,53,4.9,"78.4%","22.2%","50%",148,144,5.2,7.9,"22.8%",497,"22.8%","20.6%",0.16,0.28
"Galio","Top",5,"6.1%","2.4%","15.9%","60%","100%",8,11,29,3.4,"71.2%","20.8%","20%",201,153,0.2,7.9,"24.9%",405,"20.6%","21.3%",0.4,0.16
"Gnar","Top",32,"39.0%","25.6%","64.6%","59%","44%",97,82,167,3.2,"60.1%","19.3%","25%",-199,-218,-3.6,8.1,"25.8%",497,"22.6%","23.2%",0.39,0.24
"Gragas","Top",5,"6.1%","1.2%","7.3%","80%","100%",11,6,31,7,"58.3%","13.6%","0%",219,170,6.4,7.8,"22.9%",406,"20.1%","20.0%",0.35,0.17
"Hwei","Middle",1,"1.2%","0.0%","1.2%","100%","100%",7,1,12,19,"79.2%","7.1%","0%",-164,-331,-9,7.2,"17.9%",778,"25.7%","22.3%",0.64,0.27
